




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
follicle cell of egg chamber stalk formation (GO:0030713)	12	7	1.67	+	4.20	4.12E-04	2.16E-03
negative regulation of neuron projection development (GO:0010977)	12	7	1.67	+	4.20	4.12E-04	2.15E-03
mismatch repair (GO:0006298)	12	7	1.67	+	4.20	4.12E-04	2.15E-03
pyrimidine nucleobase metabolic process (GO:0006206)	12	7	1.67	+	4.20	4.12E-04	2.15E-03
axon ensheathment (GO:0008366)	12	7	1.67	+	4.20	4.12E-04	2.15E-03
regulation of hemopoiesis (GO:1903706)	12	7	1.67	+	4.20	4.12E-04	2.15E-03
R3/R4 cell fate commitment (GO:0007464)	12	7	1.67	+	4.20	4.12E-04	2.15E-03
imaginal disc growth (GO:0007446)	12	7	1.67	+	4.20	4.12E-04	2.15E-03
epithelial cell migration, open tracheal system (GO:0007427)	36	21	5.00	+	4.20	6.12E-10	8.04E-09
regulation of locomotor rhythm (GO:1904059)	12	7	1.67	+	4.20	4.12E-04	2.14E-03
pole plasm protein localization (GO:0007318)	12	7	1.67	+	4.20	4.12E-04	2.14E-03
anterior/posterior axis specification, embryo (GO:0008595)	105	61	14.59	+	4.18	3.34E-26	1.21E-24
tripartite regional subdivision (GO:0007351)	105	61	14.59	+	4.18	3.34E-26	1.20E-24
positive regulation of cell migration (GO:0030335)	62	36	8.61	+	4.18	5.34E-16	1.15E-14
positive regulation of transferase activity (GO:0051347)	31	18	4.31	+	4.18	1.16E-08	1.35E-07
development of primary sexual characteristics (GO:0045137)	50	29	6.95	+	4.18	3.92E-13	6.71E-12
gonad development (GO:0008406)	50	29	6.95	+	4.18	3.92E-13	6.69E-12
regulation of cell migration (GO:0030334)	88	51	12.22	+	4.17	4.71E-22	1.36E-20
R8 cell differentiation (GO:0045465)	38	22	5.28	+	4.17	2.91E-10	4.02E-09
transcription preinitiation complex assembly (GO:0070897)	19	11	2.64	+	4.17	9.31E-06	7.31E-05
cell competition in a multicellular organism (GO:0035212)	19	11	2.64	+	4.17	9.31E-06	7.30E-05
post-embryonic genitalia morphogenesis (GO:0035126)	19	11	2.64	+	4.17	9.31E-06	7.30E-05
imaginal disc-derived genitalia morphogenesis (GO:0048805)	19	11	2.64	+	4.17	9.31E-06	7.29E-05
phototransduction, visible light (GO:0007603)	19	11	2.64	+	4.17	9.31E-06	7.28E-05
centrosome separation (GO:0051299)	19	11	2.64	+	4.17	9.31E-06	7.27E-05
proximal/distal pattern formation, imaginal disc (GO:0007449)	19	11	2.64	+	4.17	9.31E-06	7.26E-05
negative regulation of hemocyte differentiation (GO:0045611)	19	11	2.64	+	4.17	9.31E-06	7.26E-05
morphogenesis of embryonic epithelium (GO:0016331)	121	70	16.81	+	4.16	1.00E-29	4.26E-28
imaginal disc-derived wing vein morphogenesis (GO:0008586)	45	26	6.25	+	4.16	7.36E-12	1.16E-10
germ cell migration (GO:0008354)	45	26	6.25	+	4.16	7.36E-12	1.16E-10
DNA replication initiation (GO:0006270)	26	15	3.61	+	4.15	2.23E-07	2.27E-06
embryonic hemopoiesis (GO:0035162)	26	15	3.61	+	4.15	2.23E-07	2.27E-06
morphogenesis of a polarized epithelium (GO:0001738)	92	53	12.78	+	4.15	1.07E-22	3.20E-21
heart development (GO:0007507)	99	57	13.75	+	4.14	2.71E-24	8.86E-23
circulatory system development (GO:0072359)	99	57	13.75	+	4.14	2.71E-24	8.82E-23
glial cell development (GO:0021782)	33	19	4.58	+	4.14	5.51E-09	6.67E-08
cell growth (GO:0016049)	73	42	10.14	+	4.14	3.10E-18	7.61E-17
stem cell division (GO:0017145)	47	27	6.53	+	4.14	3.50E-12	5.59E-11
establishment of tissue polarity (GO:0007164)	82	47	11.39	+	4.13	3.76E-20	1.03E-18
establishment of planar polarity (GO:0001736)	82	47	11.39	+	4.13	3.76E-20	1.02E-18
eggshell chorion gene amplification (GO:0007307)	21	12	2.92	+	4.11	4.34E-06	3.64E-05
negative regulation of cell development (GO:0010721)	42	24	5.83	+	4.11	6.56E-11	9.54E-10
genitalia morphogenesis (GO:0035112)	21	12	2.92	+	4.11	4.34E-06	3.64E-05
sex differentiation (GO:0007548)	98	56	13.61	+	4.11	1.15E-23	3.66E-22
negative regulation of imaginal disc growth (GO:0045571)	14	8	1.94	+	4.11	1.88E-04	1.09E-03
regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900736)	7	4	.97	+	4.11	9.15E-03	3.45E-02
mitotic centrosome separation (GO:0007100)	7	4	.97	+	4.11	9.15E-03	3.45E-02
oocyte localization involved in germarium-derived egg chamber formation (GO:0030720)	14	8	1.94	+	4.11	1.88E-04	1.09E-03
muscle cell fate commitment (GO:0042693)	14	8	1.94	+	4.11	1.88E-04	1.09E-03
negative regulation of crystal cell differentiation (GO:0042690)	7	4	.97	+	4.11	9.15E-03	3.45E-02
indolalkylamine metabolic process (GO:0006586)	7	4	.97	+	4.11	9.15E-03	3.44E-02
tryptophan metabolic process (GO:0006568)	7	4	.97	+	4.11	9.15E-03	3.44E-02
glutamate metabolic process (GO:0006536)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
arginine metabolic process (GO:0006525)	7	4	.97	+	4.11	9.15E-03	3.44E-02
purine ribonucleotide transport (GO:0015868)	7	4	.97	+	4.11	9.15E-03	3.44E-02
purine nucleotide transport (GO:0015865)	7	4	.97	+	4.11	9.15E-03	3.44E-02
paracrine signaling (GO:0038001)	7	4	.97	+	4.11	9.15E-03	3.44E-02
maintenance of protein location (GO:0045185)	28	16	3.89	+	4.11	1.05E-07	1.10E-06
determination of muscle attachment site (GO:0016204)	7	4	.97	+	4.11	9.15E-03	3.43E-02
positive regulation of protein localization to plasma membrane (GO:1903078)	7	4	.97	+	4.11	9.15E-03	3.43E-02
glutamine family amino acid catabolic process (GO:0009065)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
catecholamine biosynthetic process (GO:0042423)	7	4	.97	+	4.11	9.15E-03	3.43E-02
protein localization to nuclear envelope (GO:0090435)	7	4	.97	+	4.11	9.15E-03	3.43E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
localization of cell (GO:0051674)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
protein kinase A signaling (GO:0010737)	7	4	.97	+	4.11	9.15E-03	3.43E-02
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
antennal morphogenesis (GO:0048800)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
pupation (GO:0035074)	7	4	.97	+	4.11	9.15E-03	3.42E-02
nephrocyte filtration (GO:0097206)	7	4	.97	+	4.11	9.15E-03	3.42E-02
renal filtration (GO:0097205)	7	4	.97	+	4.11	9.15E-03	3.42E-02
establishment of epithelial cell polarity (GO:0090162)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
negative regulation of cell fate specification (GO:0009996)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
positive chemotaxis (GO:0050918)	7	4	.97	+	4.11	9.15E-03	3.42E-02
negative regulation of torso signaling pathway (GO:0120177)	7	4	.97	+	4.11	9.15E-03	3.42E-02
embryonic organ development (GO:0048568)	56	32	7.78	+	4.11	4.23E-14	7.87E-13
regulation of sequestering of calcium ion (GO:0051282)	7	4	.97	+	4.11	9.15E-03	3.42E-02
regulation of mitotic cell cycle, embryonic (GO:0009794)	14	8	1.94	+	4.11	1.88E-04	1.08E-03
negative regulation of axonogenesis (GO:0050771)	7	4	.97	+	4.11	9.15E-03	3.41E-02
catechol-containing compound biosynthetic process (GO:0009713)	7	4	.97	+	4.11	9.15E-03	3.41E-02
endoderm development (GO:0007492)	7	4	.97	+	4.11	9.15E-03	3.41E-02
imaginal disc-derived female genitalia development (GO:0007486)	7	4	.97	+	4.11	9.15E-03	3.41E-02
ganglion mother cell fate determination (GO:0007402)	7	4	.97	+	4.11	9.15E-03	3.41E-02
barbed-end actin filament capping (GO:0051016)	7	4	.97	+	4.11	9.15E-03	3.41E-02
actin filament severing (GO:0051014)	7	4	.97	+	4.11	9.15E-03	3.40E-02
syncytial embryo cellularization (GO:0110069)	7	4	.97	+	4.11	9.15E-03	3.40E-02
epidermis development (GO:0008544)	65	37	9.03	+	4.10	5.13E-16	1.11E-14
oocyte dorsal/ventral axis specification (GO:0007310)	37	21	5.14	+	4.09	1.23E-09	1.57E-08
regulation of cell motility (GO:2000145)	90	51	12.50	+	4.08	1.91E-21	5.39E-20
pole cell development (GO:0007277)	30	17	4.17	+	4.08	4.93E-08	5.34E-07
male sex differentiation (GO:0046661)	30	17	4.17	+	4.08	4.93E-08	5.33E-07
DNA amplification (GO:0006277)	23	13	3.20	+	4.07	2.02E-06	1.80E-05
positive regulation of mitotic cell cycle phase transition (GO:1901992)	23	13	3.20	+	4.07	2.02E-06	1.80E-05
transcription initiation at RNA polymerase II promoter (GO:0006367)	62	35	8.61	+	4.06	4.52E-15	9.11E-14
glial cell differentiation (GO:0010001)	39	22	5.42	+	4.06	5.81E-10	7.67E-09
head involution (GO:0008258)	39	22	5.42	+	4.06	5.81E-10	7.66E-09
germline ring canal formation (GO:0030725)	16	9	2.22	+	4.05	8.59E-05	5.43E-04
pole plasm mRNA localization (GO:0019094)	32	18	4.45	+	4.05	2.32E-08	2.59E-07
reproductive system development (GO:0061458)	80	45	11.11	+	4.05	6.62E-19	1.68E-17
axon extension (GO:0048675)	32	18	4.45	+	4.05	2.32E-08	2.59E-07
reproductive structure development (GO:0048608)	80	45	11.11	+	4.05	6.62E-19	1.68E-17
protein refolding (GO:0042026)	32	18	4.45	+	4.05	2.32E-08	2.58E-07
positive regulation of cell motility (GO:2000147)	64	36	8.89	+	4.05	2.14E-15	4.45E-14
leg disc proximal/distal pattern formation (GO:0007479)	16	9	2.22	+	4.05	8.59E-05	5.42E-04
phagocytosis, engulfment (GO:0006911)	16	9	2.22	+	4.05	8.59E-05	5.42E-04
determination of left/right symmetry (GO:0007368)	16	9	2.22	+	4.05	8.59E-05	5.41E-04
regulation of locomotion (GO:0040012)	121	68	16.81	+	4.05	7.25E-28	2.79E-26
establishment of imaginal disc-derived wing hair orientation (GO:0001737)	25	14	3.47	+	4.03	9.40E-07	8.91E-06
maintenance of location in cell (GO:0051651)	25	14	3.47	+	4.03	9.40E-07	8.90E-06
regulation of chemotaxis (GO:0050920)	25	14	3.47	+	4.03	9.40E-07	8.89E-06
oocyte fate determination (GO:0030716)	34	19	4.72	+	4.02	1.09E-08	1.27E-07
positive regulation of locomotion (GO:0040017)	68	38	9.45	+	4.02	4.79E-16	1.04E-14
pole plasm RNA localization (GO:0007316)	34	19	4.72	+	4.02	1.09E-08	1.27E-07
egg chorion assembly (GO:0007306)	86	48	11.95	+	4.02	6.99E-20	1.86E-18
embryonic pattern specification (GO:0009880)	199	111	27.64	+	4.02	2.19E-44	1.44E-42
asymmetric cell division (GO:0008356)	104	58	14.45	+	4.01	1.01E-23	3.22E-22
regulation of cell shape (GO:0008360)	61	34	8.47	+	4.01	1.87E-14	3.57E-13
border follicle cell migration (GO:0007298)	97	54	13.48	+	4.01	3.97E-22	1.17E-20
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	9	5	1.25	+	4.00	3.98E-03	1.64E-02
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	9	5	1.25	+	4.00	3.98E-03	1.64E-02
secretory granule organization (GO:0033363)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
neuron migration (GO:0001764)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
protein localization to chromosome, centromeric region (GO:0071459)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
zonula adherens assembly (GO:0045186)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
regulation of glycogen catabolic process (GO:0005981)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
protein localization to condensed chromosome (GO:1903083)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
serine family amino acid biosynthetic process (GO:0009070)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
extracellular vesicle biogenesis (GO:0140112)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
plasmatocyte differentiation (GO:0042387)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
epithelial cell type specification, open tracheal system (GO:0035153)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
vesicle fusion to plasma membrane (GO:0099500)	9	5	1.25	+	4.00	3.98E-03	1.63E-02
imaginal disc-derived male genitalia morphogenesis (GO:0048803)	18	10	2.50	+	4.00	3.94E-05	2.71E-04
Malpighian tubule tip cell differentiation (GO:0061382)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
pyrimidine nucleobase biosynthetic process (GO:0019856)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
positive regulation of photoreceptor cell differentiation (GO:0046534)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
protein localization to kinetochore (GO:0034501)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
regulation of stress fiber assembly (GO:0051492)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
animal organ formation (GO:0048645)	45	25	6.25	+	4.00	6.07E-11	8.88E-10
regulation of myoblast fusion (GO:1901739)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
substrate adhesion-dependent cell spreading (GO:0034446)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
kinetochore organization (GO:0051383)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
regulation of torso signaling pathway (GO:0120175)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
negative regulation of Toll signaling pathway (GO:0045751)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
somatic sex determination (GO:0018993)	18	10	2.50	+	4.00	3.94E-05	2.71E-04
regulation of DNA-binding transcription factor activity (GO:0051090)	9	5	1.25	+	4.00	3.98E-03	1.62E-02
dorsal closure, elongation of leading edge cells (GO:0007394)	9	5	1.25	+	4.00	3.98E-03	1.61E-02
epithelial tube morphogenesis (GO:0060562)	108	60	15.00	+	4.00	2.23E-24	7.33E-23
imaginal disc-derived genitalia development (GO:0007484)	27	15	3.75	+	4.00	4.38E-07	4.36E-06
dorsal/ventral pattern formation (GO:0009953)	148	82	20.56	+	3.99	9.41E-33	4.58E-31
stem cell population maintenance (GO:0019827)	105	58	14.59	+	3.98	1.95E-23	6.05E-22
maintenance of cell number (GO:0098727)	105	58	14.59	+	3.98	1.95E-23	6.03E-22
cell fate specification (GO:0001708)	87	48	12.09	+	3.97	1.35E-19	3.55E-18
positive regulation of kinase activity (GO:0033674)	29	16	4.03	+	3.97	2.04E-07	2.09E-06
embryonic morphogenesis (GO:0048598)	234	129	32.51	+	3.97	1.07E-50	8.27E-49
negative regulation of cell differentiation (GO:0045596)	89	49	12.36	+	3.96	6.36E-20	1.70E-18
embryo development (GO:0009790)	500	275	69.46	+	3.96	5.78E-109	2.50E-106
pole cell formation (GO:0007279)	20	11	2.78	+	3.96	1.81E-05	1.32E-04
neuroblast development (GO:0014019)	20	11	2.78	+	3.96	1.81E-05	1.32E-04
regulation of establishment of planar polarity (GO:0090175)	20	11	2.78	+	3.96	1.81E-05	1.32E-04
actin filament bundle assembly (GO:0051017)	20	11	2.78	+	3.96	1.81E-05	1.32E-04
cytoplasm organization (GO:0007028)	60	33	8.34	+	3.96	7.63E-14	1.39E-12
formation of primary germ layer (GO:0001704)	31	17	4.31	+	3.95	9.51E-08	9.97E-07
developmental cell growth (GO:0048588)	53	29	7.36	+	3.94	2.97E-12	4.77E-11
eye-antennal disc development (GO:0035214)	64	35	8.89	+	3.94	1.69E-14	3.25E-13
growth of a germarium-derived egg chamber (GO:0007295)	11	6	1.53	+	3.93	1.76E-03	8.07E-03
delamination (GO:0060232)	11	6	1.53	+	3.93	1.76E-03	8.06E-03
spermatocyte division (GO:0048137)	11	6	1.53	+	3.93	1.76E-03	8.06E-03
bicoid mRNA localization (GO:0045450)	11	6	1.53	+	3.93	1.76E-03	8.05E-03
establishment or maintenance of cell polarity (GO:0007163)	198	108	27.51	+	3.93	5.90E-42	3.56E-40
regulation of developmental pigmentation (GO:0048070)	22	12	3.06	+	3.93	8.33E-06	6.61E-05
ovarian fusome organization (GO:0030723)	11	6	1.53	+	3.93	1.76E-03	8.05E-03
mitotic spindle assembly checkpoint signaling (GO:0007094)	11	6	1.53	+	3.93	1.76E-03	8.04E-03
negative regulation of mitotic sister chromatid separation (GO:2000816)	11	6	1.53	+	3.93	1.76E-03	8.04E-03
negative regulation of chromosome organization (GO:2001251)	11	6	1.53	+	3.93	1.76E-03	8.03E-03
positive regulation of glucose metabolic process (GO:0010907)	11	6	1.53	+	3.93	1.76E-03	8.03E-03
neuroblast differentiation (GO:0014016)	44	24	6.11	+	3.93	2.46E-10	3.42E-09
positive regulation of cell division (GO:0051781)	11	6	1.53	+	3.93	1.76E-03	8.02E-03
negative regulation of mitotic sister chromatid segregation (GO:0033048)	11	6	1.53	+	3.93	1.76E-03	8.02E-03
negative regulation of sister chromatid segregation (GO:0033046)	11	6	1.53	+	3.93	1.76E-03	8.01E-03
regulation of olfactory learning (GO:0090328)	11	6	1.53	+	3.93	1.76E-03	8.01E-03
regulation of tube diameter, open tracheal system (GO:0035158)	11	6	1.53	+	3.93	1.76E-03	8.00E-03
dorsal closure, amnioserosa morphology change (GO:0046664)	11	6	1.53	+	3.93	1.76E-03	8.00E-03
mitotic spindle checkpoint signaling (GO:0071174)	11	6	1.53	+	3.93	1.76E-03	7.99E-03
spindle assembly checkpoint signaling (GO:0071173)	11	6	1.53	+	3.93	1.76E-03	7.99E-03
regulation of pigmentation (GO:0120305)	22	12	3.06	+	3.93	8.33E-06	6.60E-05
regulation of protein localization to cell periphery (GO:1904375)	11	6	1.53	+	3.93	1.76E-03	7.99E-03
retrograde axonal transport (GO:0008090)	11	6	1.53	+	3.93	1.76E-03	7.98E-03
regulation of antifungal peptide production (GO:0002788)	11	6	1.53	+	3.93	1.76E-03	7.98E-03
germline stem cell asymmetric division (GO:0098728)	22	12	3.06	+	3.93	8.33E-06	6.59E-05
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	11	6	1.53	+	3.93	1.76E-03	7.97E-03
engulfment of apoptotic cell (GO:0043652)	11	6	1.53	+	3.93	1.76E-03	7.97E-03
spindle checkpoint signaling (GO:0031577)	11	6	1.53	+	3.93	1.76E-03	7.96E-03
genital disc morphogenesis (GO:0007483)	22	12	3.06	+	3.93	8.33E-06	6.58E-05
larval salivary gland morphogenesis (GO:0007436)	11	6	1.53	+	3.93	1.76E-03	7.96E-03
initiation of dorsal closure (GO:0007392)	11	6	1.53	+	3.93	1.76E-03	7.95E-03
chorion-containing eggshell formation (GO:0007304)	55	30	7.64	+	3.93	1.39E-12	2.28E-11
positive regulation of mitotic cell cycle (GO:0045931)	33	18	4.58	+	3.93	4.44E-08	4.81E-07
nuclear migration (GO:0007097)	35	19	4.86	+	3.91	2.07E-08	2.32E-07
cell division (GO:0051301)	234	127	32.51	+	3.91	6.76E-49	4.98E-47
epithelial cell migration (GO:0010631)	142	77	19.73	+	3.90	5.65E-30	2.41E-28
regulation of axon extension (GO:0030516)	24	13	3.33	+	3.90	3.84E-06	3.28E-05
positive regulation of cell cycle phase transition (GO:1901989)	24	13	3.33	+	3.90	3.84E-06	3.27E-05
regulation of extent of cell growth (GO:0061387)	24	13	3.33	+	3.90	3.84E-06	3.27E-05
cardiocyte differentiation (GO:0035051)	24	13	3.33	+	3.90	3.84E-06	3.27E-05
embryonic heart tube development (GO:0035050)	24	13	3.33	+	3.90	3.84E-06	3.26E-05
asymmetric stem cell division (GO:0098722)	24	13	3.33	+	3.90	3.84E-06	3.26E-05
regulation of animal organ morphogenesis (GO:2000027)	24	13	3.33	+	3.90	3.84E-06	3.25E-05
imaginal disc-derived male genitalia development (GO:0007485)	24	13	3.33	+	3.90	3.84E-06	3.25E-05
gastrulation (GO:0007369)	85	46	11.81	+	3.90	2.20E-18	5.46E-17
cell fate commitment (GO:0045165)	305	165	42.37	+	3.89	3.23E-63	4.10E-61
follicle cell of egg chamber migration (GO:0007297)	111	60	15.42	+	3.89	1.55E-23	4.83E-22
regulation of cell division (GO:0051302)	37	20	5.14	+	3.89	9.65E-09	1.14E-07
follicle cell of egg chamber development (GO:0030707)	241	130	33.48	+	3.88	1.24E-49	9.39E-48
regulation of cytoplasmic translation (GO:2000765)	13	7	1.81	+	3.88	7.86E-04	3.98E-03
positive regulation of neuroblast proliferation (GO:0002052)	26	14	3.61	+	3.88	1.78E-06	1.60E-05
dosage compensation by hyperactivation of X chromosome (GO:0009047)	13	7	1.81	+	3.88	7.86E-04	3.98E-03
regulation of apoptotic process involved in development (GO:1904748)	13	7	1.81	+	3.88	7.86E-04	3.97E-03
nephrocyte differentiation (GO:0061319)	13	7	1.81	+	3.88	7.86E-04	3.97E-03
renal filtration cell differentiation (GO:0061318)	13	7	1.81	+	3.88	7.86E-04	3.97E-03
regulation of defense response to fungus (GO:1900150)	13	7	1.81	+	3.88	7.86E-04	3.97E-03
double-strand break repair via break-induced replication (GO:0000727)	13	7	1.81	+	3.88	7.86E-04	3.96E-03
negative regulation of DNA replication (GO:0008156)	13	7	1.81	+	3.88	7.86E-04	3.96E-03
epithelium migration (GO:0090132)	143	77	19.87	+	3.88	1.06E-29	4.49E-28
ameboidal-type cell migration (GO:0001667)	158	85	21.95	+	3.87	1.25E-32	6.06E-31
gliogenesis (GO:0042063)	80	43	11.11	+	3.87	3.99E-17	9.47E-16
cortical actin cytoskeleton organization (GO:0030866)	54	29	7.50	+	3.87	5.56E-12	8.82E-11
homeostasis of number of cells (GO:0048872)	41	22	5.70	+	3.86	2.10E-09	2.64E-08
tissue migration (GO:0090130)	151	81	20.98	+	3.86	4.99E-31	2.31E-29
epithelial cell differentiation (GO:0030855)	321	172	44.59	+	3.86	4.47E-65	5.98E-63
female meiotic nuclear division (GO:0007143)	56	30	7.78	+	3.86	2.60E-12	4.20E-11
establishment of spindle orientation (GO:0051294)	28	15	3.89	+	3.86	8.22E-07	7.85E-06
photoreceptor cell axon guidance (GO:0072499)	28	15	3.89	+	3.86	8.22E-07	7.84E-06
intracellular mRNA localization involved in anterior/posterior axis specification (GO:0060811)	43	23	5.97	+	3.85	9.82E-10	1.28E-08
eggshell formation (GO:0030703)	58	31	8.06	+	3.85	1.22E-12	2.01E-11
regulation of photoreceptor cell differentiation (GO:0046532)	45	24	6.25	+	3.84	4.59E-10	6.19E-09
Notch receptor processing (GO:0007220)	15	8	2.08	+	3.84	3.53E-04	1.92E-03
fusome organization (GO:0045478)	15	8	2.08	+	3.84	3.53E-04	1.92E-03
amine biosynthetic process (GO:0009309)	15	8	2.08	+	3.84	3.53E-04	1.92E-03
cellular response to ionizing radiation (GO:0071479)	15	8	2.08	+	3.84	3.53E-04	1.92E-03
synaptic target inhibition (GO:0016201)	15	8	2.08	+	3.84	3.53E-04	1.91E-03
biogenic amine biosynthetic process (GO:0042401)	15	8	2.08	+	3.84	3.53E-04	1.91E-03
cellular response to tumor necrosis factor (GO:0071356)	15	8	2.08	+	3.84	3.53E-04	1.91E-03
regulation of tube diameter (GO:0035296)	15	8	2.08	+	3.84	3.53E-04	1.91E-03
response to tumor necrosis factor (GO:0034612)	15	8	2.08	+	3.84	3.53E-04	1.91E-03
blastoderm segmentation (GO:0007350)	184	98	25.56	+	3.83	5.75E-37	3.04E-35
regulation of chromatin organization (GO:1902275)	32	17	4.45	+	3.82	1.77E-07	1.82E-06
neuron projection extension (GO:1990138)	34	18	4.72	+	3.81	8.20E-08	8.73E-07
intercellular bridge organization (GO:0043063)	17	9	2.36	+	3.81	1.60E-04	9.44E-04
positive regulation of chromatin organization (GO:1905269)	17	9	2.36	+	3.81	1.60E-04	9.43E-04
pupal development (GO:0035209)	17	9	2.36	+	3.81	1.60E-04	9.42E-04
left/right pattern formation (GO:0060972)	17	9	2.36	+	3.81	1.60E-04	9.41E-04
thermosensory behavior (GO:0040040)	17	9	2.36	+	3.81	1.60E-04	9.41E-04
cuticle pattern formation (GO:0035017)	34	18	4.72	+	3.81	8.20E-08	8.72E-07
regulation of lamellipodium assembly (GO:0010591)	17	9	2.36	+	3.81	1.60E-04	9.40E-04
cell migration involved in gastrulation (GO:0042074)	17	9	2.36	+	3.81	1.60E-04	9.39E-04
imaginal disc-derived wing vein specification (GO:0007474)	51	27	7.08	+	3.81	4.68E-11	6.87E-10
intestinal stem cell homeostasis (GO:0036335)	34	18	4.72	+	3.81	8.20E-08	8.71E-07
positive regulation of heterochromatin formation (GO:0031453)	17	9	2.36	+	3.81	1.60E-04	9.38E-04
olfactory learning (GO:0008355)	36	19	5.00	+	3.80	3.81E-08	4.17E-07
regulation of filopodium assembly (GO:0051489)	36	19	5.00	+	3.80	3.81E-08	4.17E-07
formation of animal organ boundary (GO:0010160)	36	19	5.00	+	3.80	3.81E-08	4.16E-07
segmentation (GO:0035282)	224	118	31.12	+	3.79	1.08E-43	6.78E-42
male anatomical structure morphogenesis (GO:0090598)	19	10	2.64	+	3.79	7.28E-05	4.67E-04
chitin-based larval cuticle pattern formation (GO:0035293)	19	10	2.64	+	3.79	7.28E-05	4.67E-04
maintenance of protein location in cell (GO:0032507)	19	10	2.64	+	3.79	7.28E-05	4.67E-04
male genitalia morphogenesis (GO:0048808)	19	10	2.64	+	3.79	7.28E-05	4.66E-04
oocyte construction (GO:0007308)	118	62	16.39	+	3.78	2.13E-23	6.55E-22
regulation of cell morphogenesis (GO:0022604)	80	42	11.11	+	3.78	2.88E-16	6.37E-15
tube development (GO:0035295)	246	129	34.17	+	3.77	2.03E-47	1.43E-45
cellular anatomical entity morphogenesis (GO:0032989)	147	77	20.42	+	3.77	1.22E-28	4.86E-27
cellular component assembly involved in morphogenesis (GO:0010927)	147	77	20.42	+	3.77	1.22E-28	4.83E-27
nucleus localization (GO:0051647)	42	22	5.83	+	3.77	3.84E-09	4.73E-08
axonal fasciculation (GO:0007413)	21	11	2.92	+	3.77	3.32E-05	2.30E-04
pattern specification process (GO:0007389)	505	264	70.15	+	3.76	1.53E-97	4.17E-95
gastrulation involving germ band extension (GO:0010004)	44	23	6.11	+	3.76	1.79E-09	2.27E-08
gastrulation with mouth forming first (GO:0001703)	44	23	6.11	+	3.76	1.79E-09	2.26E-08
epithelial cell development (GO:0002064)	270	141	37.51	+	3.76	1.66E-51	1.34E-49
oocyte axis specification (GO:0007309)	113	59	15.70	+	3.76	3.81E-22	1.12E-20
Ras protein signal transduction (GO:0007265)	23	12	3.20	+	3.76	1.52E-05	1.14E-04
actomyosin contractile ring organization (GO:0044837)	23	12	3.20	+	3.76	1.52E-05	1.14E-04
male genitalia development (GO:0030539)	23	12	3.20	+	3.76	1.52E-05	1.14E-04
intracellular mRNA localization involved in pattern specification process (GO:0060810)	46	24	6.39	+	3.76	8.33E-10	1.09E-08
response to peptide (GO:1901652)	23	12	3.20	+	3.76	1.52E-05	1.14E-04
positive regulation of cell adhesion (GO:0045785)	23	12	3.20	+	3.76	1.52E-05	1.14E-04
imaginal disc-derived wing morphogenesis (GO:0007476)	276	144	38.34	+	3.76	1.57E-52	1.28E-50
regulation of protein serine/threonine kinase activity (GO:0071900)	23	12	3.20	+	3.76	1.52E-05	1.14E-04
